10,12,12,12,13,14,17,20,20,21,22,25,29,29,32,33,34,36,36,36,40,40,40,44,45,45,45,50,50,50,50,50,52,52,52,53,53,54,54,54,54,54,58,58,58,58,60,60,60,61
10,11,11,13,13,16,18,18,21,21,24,24,24,31,31,31,31,31,31,32,33,34,38,38,39,39,40,43,44,45,46,47,50,50,50,50,50,51,51,51,51,51,51,54,54,54,54,54,54,54
10,10,12,14,14,16,16,16,18,20,20,24,25,27,28,31,34,34,37,37,37,40,41,45,45,45,47,48,48,49,51,51,51,51,51,52,53,54,55,55,56,56,56,56,56,56,56,56,56,58
9,10,11,13,13,15,16,17,19,19,19,21,21,25,27,28,28,33,35,35,35,36,42,45,45,45,47,50,50,50,50,50,50,51,51,51,51,52,52,52,56,56,56,56,56,56,56,60,60,60
10,10,11,12,16,16,16,17,17,18,22,22,24,28,30,31,34,35,37,41,41,41,41,41,42,42,43,43,43,45,45,45,45,45,46,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50
9,11,12,14,15,15,16,18,21,23,28,28,28,28,29,34,34,36,38,38,38,38,38,41,41,41,42,42,43,43,43,43,45,45,46,46,46,46,46,48,48,48,48,48,48,50,52,52,52,52
10,11,13,13,13,15,16,16,19,19,20,21,22,23,29,29,29,39,39,39,39,39,40,41,43,44,50,50,50,50,50,50,50,51,51,51,51,51,51,53,53,53,54,56,56,56,56,56,56,57
11,11,12,13,15,15,17,19,19,21,21,21,30,32,32,32,35,37,37,41,41,42,46,46,46,46,46,47,47,50,50,50,50,50,50,51,51,55,56,56,56,56,56,56,56,56,56,56,56,56
11,11,11,12,13,16,19,21,24,24,27,27,27,31,34,34,34,34,35,42,42,42,46,48,48,48,48,52,52,52,53,53,53,53,53,53,53,53,53,53,54,54,54,54,56,56,56,56,58,58
10,12,14,14,14,14,15,15,16,17,20,20,24,24,27,33,33,33,33,33,37,39,39,41,41,46,46,46,47,47,47,47,47,47,49,49,49,49,49,49,49,49,49,50,50,50,52,52,52,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.9,11.9,13,13.9,15.2,16.6,17.7,19.4,20.3,22.3,23.3,25.4,27.8,29.9,31.6,32.6,34.8,35.8,37.4,38.3,39.1,41.1,43,43.5,44.1,45.4,47.1,47.4,48.1,48.5,48.6,49.3,49.5,49.9,50.3,50.4,51.2,51.4,51.8,52.4,52.4,52.9,53.5,54,54.2,54.8,55.2,55.4,55.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.9,11.9,13,13.9,15.2,16.6,17.7,19.4,20.3,22.3,23.3,25.4,27.8,29.9,31.6,32.6,34.8,35.8,37.4,38.3,39.1,41.1,43,43.5,44.1,45.4,47.1,47.4,48.1,48.5,48.6,49.3,49.5,49.9,50.3,50.4,51.2,51.4,51.8,52.4,52.4,52.9,53.5,54,54.2,54.8,55.2,55.4,55.8
