6,7,8,8,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,15,15,19,19,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,28,28,29,31,32,32,32,34,34,34
6,6,6,8,8,8,8,8,8,10,10,10,10,12,12,12,12,12,13,14,14,15,15,16,18,18,18,19,21,21,21,21,22,22,22,22,22,22,24,26,26,27,27,27,27,27,27,27,28,32
7,8,9,9,10,10,11,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,19,19,20,24,24,24,24,24,24,27,27,27,27,29,29,29,29,29,30,30,31,31,31,31
7,8,10,10,10,10,11,12,13,15,19,19,19,19,19,20,20,20,20,22,22,22,23,24,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,27,28,28,28,28,28,29,29,29,29
7,9,11,12,13,13,13,13,14,14,14,14,14,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,21,21,22,22,23,23,23,23,24,24,24,24,24,24,26,26,26,28,28,28
6,6,6,7,7,10,10,14,15,16,16,16,16,16,16,16,17,17,17,17,19,19,19,19,19,19,19,19,19,19,25,25,26,26,26,26,29,29,29,29,29,29,29,29,29,29,29,29,29,29
8,9,9,9,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,15,15,17,17,17,18,18,18,18,18,20,21,21,22,23,25,25,25,25,25,25,26,26,26
9,9,11,11,11,11,12,12,12,13,14,14,14,14,14,14,15,16,16,19,19,19,19,19,19,19,19,19,19,20,20,24,24,24,24,24,24,26,32,32,32,32,32,32,32,33,33,36,37,38
7,7,7,8,10,10,11,11,12,13,13,14,15,15,15,15,15,15,15,15,16,16,17,17,17,17,20,20,20,20,20,21,21,21,21,23,23,23,23,23,24,24,24,24,24,27,31,34,37,37
6,6,7,7,8,10,10,10,10,12,12,12,12,13,13,13,13,13,14,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,7.5,8.4,8.9,9.7,10.2,10.7,11.9,12.3,13.3,13.8,13.9,14,14.6,14.6,14.7,14.9,15.1,15.4,16.6,17.4,17.9,18.1,18.5,18.9,19,19.6,19.7,20.2,20.7,21.5,22.2,22.5,22.5,22.8,23.3,23.8,24.1,25.2,25.8,26.5,26.9,27,27.2,27.6,28,28.6,29.7,30.3,30.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9,7.5,8.4,8.9,9.7,10.2,10.7,11.9,12.3,13.3,13.8,13.9,14,14.6,14.6,14.7,14.9,15.1,15.4,16.6,17.4,17.9,18.1,18.5,18.9,19,19.6,19.7,20.2,20.7,21.5,22.2,22.5,22.5,22.8,23.3,23.8,24.1,25.2,25.8,26.5,26.9,27,27.2,27.6,28,28.6,29.7,30.3,30.8
