8,8,9,10,10,10,10,10,10,10,11,11,11,11,11,13,13,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,18,18,18,18,19,19,19,19,19,19,19,19,19,19,20,20,20,20,
9,9,9,9,10,11,11,11,11,11,11,14,15,15,15,15,16,16,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,
8,9,9,9,9,10,10,10,10,10,10,11,12,12,12,12,12,14,14,15,15,15,16,16,16,16,16,16,16,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,
8,8,9,9,10,10,10,10,10,10,11,11,11,11,12,12,12,14,14,14,14,17,17,18,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,
7,8,8,9,9,10,10,10,10,10,10,10,11,12,12,12,12,13,13,13,13,13,14,14,16,16,16,16,16,17,17,17,17,17,18,18,18,19,19,19,20,21,21,21,21,21,21,21,21,21,
9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,14,14,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,20,20,20,20,20,20,20,20,
9,9,9,9,9,10,10,10,11,12,12,12,12,12,12,12,12,12,14,14,15,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,
8,8,8,9,9,10,10,10,10,10,10,12,12,12,12,12,12,12,12,15,15,15,16,16,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,
8,8,8,9,9,9,9,9,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,
8,8,8,9,9,9,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,14,14,14,15,15,15,16,17,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,
