,8,8,9,10,10,10,10,10,10,10,11,11,11,11,11,13,13,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,18,18,18,18,19,19,19,19,19,19,19,19,19,19,20,20,20,20
,9,9,9,9,10,11,11,11,11,11,11,14,15,15,15,15,16,16,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,8,9,9,9,9,10,10,10,10,10,10,11,12,12,12,12,12,14,14,15,15,15,16,16,16,16,16,16,16,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,8,8,9,9,10,10,10,10,10,10,11,11,11,11,12,12,12,14,14,14,14,17,17,18,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21
,7,8,8,9,9,10,10,10,10,10,10,10,11,12,12,12,12,13,13,13,13,13,14,14,16,16,16,16,16,17,17,17,17,17,18,18,18,19,19,19,20,21,21,21,21,21,21,21,21,21
,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,13,14,14,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,20,20,20,20,20,20,20,20
,9,9,9,9,9,10,10,10,11,12,12,12,12,12,12,12,12,12,14,14,15,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,8,8,8,9,9,10,10,10,10,10,10,12,12,12,12,12,12,12,12,15,15,15,16,16,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20
,8,8,8,9,9,9,9,9,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18
,8,8,8,9,9,9,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,14,14,14,15,15,15,16,17,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
with Control parameters,8.2,8.4,8.6,9.2,9.4,9.9,10,10,10.2,10.3,10.7,11.4,11.9,12,12.2,12.4,12.5,13.1,13.4,14,14.3,14.7,15.2,15.4,16,16,16.3,16.4,16.6,16.8,17,17.4,18.1,18.2,18.3,18.4,18.7,18.8,18.8,19,19.3,19.4,19.8,19.8,19.8,19.8,19.9,19.9,19.9,19.9
